Transaction Date,Post Date,Description,Category,Type,Amount
04/01/2020,04/02/2020,Prime Now*HR4PN35I3,Shopping,Sale,-64.37
04/01/2020,04/01/2020,Payment Thank You - Web,,Payment,1530.42
03/28/2020,03/29/2020,WHOLEFDS HAL 10203,Groceries,Sale,-105.44
03/23/2020,03/23/2020,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-9.47
03/22/2020,03/23/2020,WHOLEFDS HAL 10203,Groceries,Sale,-70.07
03/22/2020,03/23/2020,WHOLEFDS HAL 10203,Groceries,Sale,-11.03
03/20/2020,03/20/2020,LATE FEE,Fees & Adjustments,Fee,-35
03/19/2020,03/20/2020,WHOLEFDS HAL 10203,Groceries,Sale,-65.41
03/18/2020,03/19/2020,WHOLEFDS HAL 10203,Groceries,Sale,-126.31
03/18/2020,03/19/2020,Audible*OG57Q7DQ3,Bills & Utilities,Sale,-14.95
03/18/2020,03/19/2020,WHOLEFDS HAL 10203,Groceries,Sale,-7.71
03/16/2020,03/17/2020,WHOLEFDS HAL 10203,Groceries,Sale,-43.84
03/13/2020,03/15/2020,Amazon.com*646OZ3QF3,Shopping,Sale,-45.13
03/12/2020,03/13/2020,WHOLEFDS HAL 10203,Groceries,Sale,-214.72
03/13/2020,03/13/2020,Amazon.com*UT7570PG3,Shopping,Sale,-8.77
03/08/2020,03/09/2020,WHOLEFDS HAL 10203,Groceries,Sale,-79.92
03/08/2020,03/09/2020,WHOLEFDS HAL 10203,Groceries,Sale,-8.81
03/06/2020,03/08/2020,WHOLEFDS HAL 10203,Groceries,Sale,-42.22
03/07/2020,03/08/2020,Amazon.com*HD19J3GK3,Shopping,Sale,-14.75
03/04/2020,03/05/2020,WHOLEFDS HAL 10203,Groceries,Sale,-47.09
03/04/2020,03/05/2020,Amazon.com*9E88G6PG3,Shopping,Sale,-8.15
03/01/2020,03/02/2020,WHOLEFDS HAL 10203,Groceries,Sale,-54.99
02/29/2020,03/01/2020,LYFT   *RIDE FRI 6PM,Travel,Sale,-19
02/28/2020,03/01/2020,WHOLEFDS HAL 10203,Groceries,Sale,-24.58
02/29/2020,03/01/2020,WHOLEFDS HAL 10203,Groceries,Sale,-60.08
02/29/2020,03/01/2020,GRUBHUBPHO888,Food & Drink,Sale,-32.44
02/23/2020,02/24/2020,WHOLEFDS HAL 10203,Groceries,Sale,-129.82
02/22/2020,02/23/2020,WHOLEFDS HAL 10203,Groceries,Sale,-53.87
02/21/2020,02/23/2020,WHOLEFDS HAL 10203,Groceries,Sale,-31.45
02/18/2020,02/19/2020,Audible*SP2NE5Z03,Bills & Utilities,Sale,-14.95
02/16/2020,02/17/2020,WHOLEFDS HAL 10203,Groceries,Sale,-93.18
02/14/2020,02/16/2020,WHOLEFDS HAL 10203,Groceries,Sale,-13.23
02/14/2020,02/16/2020,WHOLEFDS HAL 10203,Groceries,Sale,-15.7
02/15/2020,02/16/2020,Amazon.com*5F8577EM3,Shopping,Sale,-28.34
02/15/2020,02/16/2020,Payment Thank You-Mobile,,Payment,904.52
02/13/2020,02/14/2020,WHOLEFDS HAL 10203,Groceries,Sale,-20.56
02/11/2020,02/12/2020,LYFT   *RIDE MON 4PM,Travel,Sale,-10.66
02/09/2020,02/10/2020,WHOLEFDS HAL 10203,Groceries,Sale,-90.71
02/09/2020,02/10/2020,WHOLEFDS HAL 10203,Groceries,Sale,-6.51
02/07/2020,02/09/2020,WHOLEFDS HAL 10203,Groceries,Sale,-8.75
02/06/2020,02/07/2020,LYFT   *RIDE THU 8AM,Travel,Sale,-17.2
02/06/2020,02/07/2020,UBER TECHNOLOGIES INC,Travel,Sale,-15.61
02/06/2020,02/07/2020,Amazon.com*H04JN7JM3,Shopping,Sale,-10.09
02/06/2020,02/07/2020,Amazon.com*TA7114L93,Shopping,Sale,-11.57
02/05/2020,02/06/2020,Amazon.com*M74143143,Shopping,Sale,-74.36
02/04/2020,02/05/2020,Amazon.com*J03CB9JU3,Shopping,Sale,-13.37
02/03/2020,02/04/2020,UBER TECHNOLOGIES INC,Travel,Sale,-10.21
02/02/2020,02/03/2020,WHOLEFDS HAL 10203,Groceries,Sale,-34.97
02/01/2020,02/02/2020,WHOLEFDS HAL 10203,Groceries,Sale,-69.89
02/01/2020,02/02/2020,UBER TECHNOLOGIES INC,Travel,Sale,-14.13
01/31/2020,02/02/2020,WHOLEFDS HAL 10203,Groceries,Sale,-24.21
01/31/2020,02/02/2020,UBER TECHNOLOGIES INC,Travel,Sale,-17.19
01/28/2020,01/29/2020,Amazon.com*HE4IM5XD3,Shopping,Sale,-44.25
01/26/2020,01/27/2020,WHOLEFDS HAL 10203,Groceries,Sale,-38.72
01/26/2020,01/26/2020,AMZN Mktp US*Y96GR1803,Shopping,Sale,-97.97
01/26/2020,01/26/2020,AMZN Mktp US*BA71S2SB3,Shopping,Sale,-80.19
01/25/2020,01/26/2020,WHOLEFDS HAL 10203,Groceries,Sale,-81.11
01/19/2020,01/20/2020,WHOLEFDS KBS 10252,Groceries,Sale,-69.95
01/19/2020,01/19/2020,Payment Thank You - Web,,Payment,499
01/17/2020,01/19/2020,WHOLEFDS HAL 10203,Groceries,Sale,-27.39
01/18/2020,01/19/2020,Audible US*EU6G30M83,Bills & Utilities,Sale,-14.95
01/15/2020,01/16/2020,GRUBHUBPANINOSPIZZA,Food & Drink,Sale,-25.15
01/14/2020,01/14/2020,Amazon.com*DL2J14843,Shopping,Sale,-11.09
01/11/2020,01/12/2020,WHOLEFDS HAL 10203,Groceries,Sale,-93.03
01/10/2020,01/12/2020,WHOLEFDS HAL 10203,Groceries,Sale,-13.6
01/08/2020,01/09/2020,AMZN Mktp US*LC23R0DW3,Shopping,Sale,-10.34
01/06/2020,01/07/2020,WHOLEFDS HAL 10203,Groceries,Sale,-70.46
01/04/2020,01/05/2020,Amazon.com*ZT3WB13R3,Shopping,Sale,-13.78
